id,threat,stride,asset,trust_boundary,attack_path,likelihood,impact,risk_score,risk_rating,recommended_controls,owner,status
TM-001,"Stolen user credentials used to access the customer portal","Spoofing","User accounts","Internet to authentication service","Credential stuffing or phishing leads to unauthorized login",4,4,16,"High","MFA, account lockout, impossible travel detection, login alerting","Identity Security","Open"
TM-002,"API authorization bypass exposes another customer's records","Elevation of Privilege","Customer data","Web application to API backend","Attacker modifies customer_id or object reference in API request",5,5,25,"Critical","Object-level authorization, deny-by-default access checks, automated authorization tests","Application Security","Open"
TM-003,"Public object storage exposes uploaded customer files","Information Disclosure","Object storage","Application to cloud storage","Storage bucket or container is accidentally made public",3,5,15,"High","Private storage, bucket policies, encryption, access logging, CSPM checks","Cloud Security","Open"
TM-004,"Admin actions are not logged","Repudiation","Admin portal","Admin portal to logging platform","Privileged changes cannot be investigated or attributed",3,4,12,"Medium","Centralized audit logging, immutable logs, admin activity monitoring","SOC / Detection Engineering","Open"
TM-005,"CI/CD secrets are exposed in source code repository","Information Disclosure","CI/CD pipeline","Developer workstation to GitHub","Secret committed to repository and used by attacker",4,5,20,"Critical","Secret scanning, pre-commit hooks, secret vaulting, key rotation","DevSecOps","Open"
TM-006,"Public API is overwhelmed by automated requests","Denial of Service","API backend","Internet to API gateway","Bot traffic or scripted requests exhaust API resources",4,4,16,"High","Rate limiting, WAF rules, autoscaling, request throttling","Application Security","Open"
TM-007,"SQL injection allows database access","Tampering","Database","API backend to database","Unsanitized input is used in a database query",3,5,15,"High","Parameterized queries, input validation, SAST, DAST testing","Application Security","Open"
TM-008,"Weak service-to-service authentication allows internal spoofing","Spoofing","Internal services","API backend to internal services","A service sends requests without strong identity validation",3,4,12,"Medium","mTLS, service identity, short-lived tokens, network segmentation","Cloud Security","Open"
TM-009,"Overly broad cloud IAM role allows privilege escalation","Elevation of Privilege","Cloud environment","CI/CD pipeline to cloud deployment","Compromised pipeline identity has excessive permissions",4,5,20,"Critical","Least privilege IAM, permission boundaries, role review, deployment approvals","Cloud Security","Open"
TM-010,"Application logs expose tokens or sensitive customer data","Information Disclosure","Logging platform","Application to SIEM/logging","Sensitive data is written to logs and viewed by unauthorized users",3,4,12,"Medium","Log redaction, sensitive data filtering, access controls, retention policy","SOC / Detection Engineering","Open"
TM-011,"Unsafe file upload enables malicious content storage","Tampering","Web application and object storage","Browser to web application","Attacker uploads unsafe files or bypasses content validation",3,4,12,"Medium","File type validation, malware scanning, storage isolation, signed URLs","Application Security","Open"
TM-012,"Status endpoint leaks application or infrastructure details","Information Disclosure","Web application","Internet to web application","Unauthenticated endpoint exposes version, stack, or internal details",3,3,9,"Medium","Authentication, response minimization, secure headers, endpoint review","Application Security","Open"
TM-013,"Database lacks encryption at rest","Information Disclosure","Database","Cloud database boundary","Data exposure impact increases if storage is compromised",2,5,10,"Medium","Encryption at rest, managed keys, key rotation, database access monitoring","Cloud Security","Open"
TM-014,"Weak session cookie settings allow session theft","Spoofing","User sessions","Browser to web application","Cookies lack Secure, HttpOnly, or SameSite protections",3,4,12,"Medium","Secure cookie flags, session rotation, short idle timeout, TLS enforcement","Application Security","Open"
TM-015,"Vulnerable dependency is deployed into production","Elevation of Privilege","Application runtime","CI/CD pipeline to production","Known vulnerable package is built and deployed",4,4,16,"High","SCA scanning, dependency pinning, patch SLAs, build failure on critical findings","DevSecOps","Open"
